deck,ev_farmer_X,kelly_f
40023034,0.0459706959706961,0.0219609015689904
40023043,0.0503663003663005,0.0242577235258492
40023124,0.0476190476190477,0.0228944329742883
40023133,0.0437728937728936,0.0215637627178609
40023142,0.0542124542124542,0.0265859957523952
40023214,0.0578754578754579,0.0276141458329495
40023223,0.0458791208791208,0.022743593867029
40023232,0.048076923076923,0.0241130046748219
40023241,0.0644688644688645,0.0317528033698684
40023304,0.0767399267399268,0.0356998920652447
40023313,0.0591575091575092,0.0288576597552074
40023322,0.0532051282051281,0.0266210953944626
40023331,0.0613553113553114,0.0306509260098802
40023340,0.0811355311355312,0.0393590123782377
40023403,0.0811355311355312,0.0381150716101622
40023412,0.0695970695970697,0.0338186118877729
40023421,0.0695970695970697,0.0342305637147756
40023430,0.0811355311355312,0.0394194138441688
40024024,0.050091575091575,0.0235220238348663
40024033,0.0503663003663005,0.0241630060799694
40024042,0.0618131868131867,0.0295694735139442
40024114,0.0577838827838829,0.0269224323670323
40024123,0.0498168498168499,0.0240509156931074
40024132,0.0542124542124542,0.0265078259238269
40024141,0.0709706959706961,0.0342053426049177
40024204,0.0735347985347986,0.0336600409921551
40024213,0.0586080586080586,0.0280790806735614
40024222,0.0547619047619048,0.0269376872826693
40024231,0.0644688644688645,0.0317492285030153
40024240,0.0852564102564103,0.0409155954443952
40024303,0.0767399267399268,0.035880490348039
40024312,0.065934065934066,0.031955913695258
40024321,0.0673992673992675,0.0331484675695725
40024330,0.0811355311355312,0.0395027157773541
40024402,0.0852564102564103,0.0399126996380122
40024411,0.0797619047619048,0.038233998904482
40024420,0.0852564102564103,0.0410074077153247
40030144,0.0623626373626374,0.0290887560586326
40030234,0.067948717948718,0.032189253732688
40030243,0.067948717948718,0.0322602845973299
40030324,0.0767399267399268,0.036454603717329
40030333,0.0714285714285715,0.0343721784321346
40030342,0.0767399267399268,0.0365712175201184
40030414,0.0887362637362638,0.0415030512038877
40030423,0.0811355311355312,0.0387062199625346
40030432,0.0811355311355312,0.0387722648986123
40030441,0.0887362637362638,0.0416409626841046
40031044,0.0447802197802197,0.0211725557246534
40031134,0.0486263736263736,0.023303626821089
40031143,0.0502747252747252,0.0242523227441839
40031224,0.0564102564102564,0.0272059825486019
40031233,0.0503663003663004,0.0247729703068538
40031242,0.0586080586080586,0.0286343448800508
40031314,0.0706043956043957,0.0336808376229338
40031323,0.0586080586080586,0.0288247712093153
40031332,0.0591575091575092,0.0292995165329694
